Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	Empty	1prim	1rec	2prim	2rec	3prim	3rec	4prim	4rec	master	Empty	master	Empty	5prim	5rec	6prim	6rec	7prim	7rec	8prim	8rec	Empty	master	Empty	Empty	9prim	9rec	10prim	10rec	11prim	11rec	Empty	Empty
A0A075B6H7	2	IGKV3-7	0.9997	15.163228934910187	NA	16.196528694993184	15.133307663945615	14.036954352286427	15.244313927797421	16.02224903254265	15.075595126821842	14.620775004057661	14.831213032508021	15.005783449494315	14.862092309033015	15.019225365340017	NA	15.30755045896457	15.105293287056778	15.12464558540574	15.111018886645555	15.222240878876315	15.169531377538908	15.512300055683642	15.154659870196875	14.962886118949303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6H9	5	IGLV4-69	1.0	18.803418683548642	NA	19.94206892436065	18.06216395973924	18.239088645890902	18.60369736661675	19.401074670010413	18.808785742070956	18.03434503994732	18.490560400307963	18.961200907479935	18.891783394683987	18.91789075119149	NA	19.194976787215737	18.89670208932542	19.30399394261421	18.210716728239497	18.391154906902123	18.960678230567154	18.60894169541788	18.618792748559	18.812171254278635	18.521139051664065	18.391981540739415	17.71776274862998	17.75681489336297	17.888006807507335	19.14310181538033	18.425721253066936	19.622807910325513	18.885063938568887	18.746868998923645	NA
A0A075B6I0	5	IGLV8-61	1.0	17.932755026140953	17.75480299977176	18.112936930349516	17.841740291152444	17.328411718795845	18.008227708021455	18.969089721723297	18.47505184763457	17.73320685442742	17.86646804730328	17.83817330239193	17.86632185104124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6I1	1	IGLV4-60	0.9999	14.674670858859795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.239568597750395	14.367901243111081	13.629072872777414	14.118710459880539	14.264054230181134	14.985636629279748	14.24850322239921	15.443877619864915	14.81768080731655	14.58786378049663	NA
A0A075B6I4	1	IGLV10-54	1.0	17.537199036452055	NA	18.267011299039186	16.93808519419196	16.759166951034484	17.313367843593962	18.23129207115872	18.10024906760398	17.172891112634947	17.311960967469254	17.63328176255926	17.467439308608228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6J9	1	IGLV2-18	0.9996	17.671888749829176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.933889372457294	17.743341427139427	18.796449249327846	17.59168504723513	17.7638241453274	17.557173838969273	18.22274736768963	17.130218746880672	17.753494299536143	17.79647103388212	19.00574533208363
A0A075B7B8	1	IGHV3OR16-12	1.0	18.17685158221633	18.088302907757534	18.767414572663945	18.21302573994761	17.662887494746748	18.302964720936526	19.387330218414174	18.923574764144924	17.528052921730684	17.814341142328217	18.228054258396238	18.31128468437008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B7D0	2	IGHV1OR15-1	1.0	17.315190498912063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.290252776614004	17.25975383837098	17.517905107190227	16.98677781678373	16.925213601834507	17.414769985411713	17.139798304062797	18.125544012752616	17.718393204739314	17.66020100046604	16.9046460001925
A0A0A0MS14	1	IGHV1-45	0.9997	14.963233322710524	NA	15.738125652238661	14.56783666128933	14.274355415558686	14.95346559824605	15.839658867784328	15.95983554325746	14.161504330158328	14.123193579605875	14.804670127838142	14.905229797332376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MS15	4	IGHV3-49	1.0	18.343229906319092	19.501771805647007	18.527073784732664	18.586285918412685	17.84286520600105	18.062760092639106	19.347200087506515	19.165973903725995	17.814073080396852	18.229000383317906	18.265678400313103	18.32817553996204	18.387351378160066	NA	18.578871142716114	17.3712996501081	19.034999073385542	17.5274885152227	18.03707072634633	19.07602004276042	17.53315996627992	18.44935204920903	18.494622007360682	18.362740518303404	18.26959842096976	18.151516598696023	17.93571009818078	18.13711989811609	18.559459483675766	18.652040606735092	18.818419882780056	18.607464888623433	18.628499733475124	17.765875873870286
A0A0A0MT89	3	IGKJ1	0.9846	23.069210040262796	23.68723535078891	24.23159797574654	23.380742117760565	22.519906418558868	23.03403726502617	23.708466651115515	23.686532827256528	22.434571524108787	22.650652029838113	23.040017983784995	23.141466450502016	23.112736512166478	NA	23.960616669780087	22.99032198443304	23.436292256355994	22.001540822322298	22.257812725508327	23.309846740071404	22.73996094192994	23.995438617294678	23.069201562382318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MT96	1	IGKJ3	0.9831	16.17778784215825	15.612452000456422	17.20105216525367	16.248473869803696	15.75549869975045	16.273814791813994	17.163657701985244	16.62907831319953	15.6561736817169	15.842830944587913	16.093213443789974	16.17818436819737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1U3	1	IGLV1-36	1.0	14.565793576383495	NA	15.2409594170845	14.64912778125028	14.293824599707849	14.868049993776722	15.407394746904787	15.071957254787103	13.77832438902546	14.0204179661061	13.905867991788904	14.472545398547355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1U7	1	IGHV6-1	0.9998	16.75924587546246	16.370564565940057	17.39347582521978	16.613185778466928	16.492772668684935	16.731366702294316	17.512970302805417	17.179172167672295	16.55806636121866	16.900233455541123	16.821284389499755	16.932158997798894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1V0	3	IGHV3-15	1.0	17.496977632320526	NA	18.21158189851932	17.403196409793175	16.890225240889468	17.32834140977602	17.958925884117864	17.884613919792983	16.971592805273946	17.1416507577992	17.58741714871404	17.673204127469564	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.48316012080725	17.417901630058775	17.560241640100564	16.932561949966267	16.962465181882667	17.31376617352877	17.302500126545823	18.064425740684253	18.603214573617247	18.29043762747466	18.59938694396439
