Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	Empty	1-prim	1-rec	2-prim	2-rec	3-prim	3-rec	4-prim	4-rec	Norm	Norm	Norm	Empty	5-prim	5-rec	6-prim	6-rec	7-prim	7-rec	8-prim	8-rec	Norm	Norm	Norm	Empty	9-prim	9-rec	10-prim	10-rec	11-prim	11-rec	Empty	Empty
A0A075B6H7	1	IGKV3-7	1.0	14.692881233982929	NA	15.73374175733278	14.667481145711807	13.568372282643438	14.774612588116206	15.556069545043899	14.607379548698272	14.131584133128758	14.346164290805667	14.533334026845445	14.388398974751647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6H9	5	IGLV4-69	1.0	18.803418683548642	NA	19.949629687627507	18.066685142432693	18.24085427717517	18.604343727862794	19.40524288343892	18.810917864874643	18.015501869945673	18.47585935953287	18.95909918575832	18.888437761329875	18.904485553232714	NA	19.19618934953372	18.899624550471803	19.301629343446177	18.20816641879165	18.395091247964277	18.955219211757477	18.607103772799707	18.619747667833206	18.80847429136552	18.515971926819553	18.387839278544288	17.71815456321747	17.748738599038138	17.883272980908455	19.129734772332892	18.417069574667487	19.620686547156268	18.88854782663173	18.745974442598342	NA
A0A075B6I0	5	IGLV8-61	1.0	17.951835306116312	17.782869341648308	18.139577973591727	17.86534175382125	17.349257630055472	18.027954349242858	18.992338215127162	18.49626425041362	17.733443964401133	17.87084728650354	17.855151860645677	17.882056497662486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6I1	1	IGLV4-60	0.9994	14.847631622512472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.40736223655856	14.536719744568632	13.802425451017582	14.283594929208387	14.432281167234935	15.145230349884988	14.412812307652436	15.61471702034835	14.994125459032071	14.759929987824002	NA
A0A075B6I4	1	IGLV10-54	1.0	17.562246200841802	NA	18.299619226695786	16.967653541275155	16.785979746708495	17.33906136922975	18.26050744897697	18.127428354797413	17.179095107023045	17.3223070910839	17.65622720522739	17.489140839643863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6J9	1	IGLV2-18	1.0	17.694720922167676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.95155441995128	17.7620313372828	18.819673236253838	17.6064409252488	17.781922491067025	17.56663896826033	18.23692786162868	17.150929556049928	17.779810359937485	17.818408649895314	19.045606393004142
A0A075B7B8	1	IGHV3OR16-12	1.0	18.192978441480705	18.1134158289231	18.791102195195176	18.23367378190544	17.680779985295395	18.319737941446945	19.40762529110706	18.941833746212993	17.52533661099342	17.8157669608175	18.242079395939	18.32406591028035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B7D0	2	IGHV1OR15-1	1.0	17.34436255186642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.314257704723854	17.284783629130217	17.54746897473208	17.00787357541326	16.94965182818999	17.430574995318636	17.160318678617706	18.152594702537733	17.751049145756514	17.688478497095094	16.950846941728873
A0A0A0MS14	1	IGHV1-45	1.0	15.106339136208003	NA	15.888792229002995	14.715463657480262	14.419226860340434	15.097217772989572	15.98693289471031	16.10507347955863	14.285766973654162	14.251598352328259	14.945674219614006	15.044989977475744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MS15	4	IGHV3-49	1.0	18.343229906319092	19.510757867548193	18.534634547999516	18.590807101106137	17.844630837285315	18.06340645388515	19.35136830093502	19.168106026529685	17.79522991039521	18.21429934254281	18.263576678591487	18.324829906607928	18.37394618020129	NA	18.5800837050341	17.374222111254483	19.032634474217513	17.524938205774852	18.041007067408486	19.070561023950738	17.53132204366175	18.450306968483236	18.490925044447568	18.357573393458892	18.265456158774633	18.151908413283515	17.92763380385595	18.13238607151721	18.546092440628332	18.643388928335643	18.81629851961081	18.61094877668628	18.62760517714982	17.7829047624523
A0A0B4J1U3	1	IGLV1-36	1.0	14.751475064603845	NA	15.4342016685717	14.83933045216408	14.481271719212463	15.054377843243111	15.597244448553639	15.25977086581114	13.94516270724416	14.191398413551351	14.089447758287635	14.654881253413594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1U7	4	IGHV6-1	0.9999	21.353351992347374	21.794820654871202	22.16873808170701	20.925843180743428	20.55509398217836	21.413745075300568	22.418832803179523	21.812338392195556	21.028385162463927	21.48788404579456	21.236653400833813	21.300654588058187	21.790445262552662	21.617764569885225	22.849548469960972	20.7453582686159	21.634681552804498	19.869287449179126	21.02606755963038	21.91741066165669	20.76566632810175	21.971702572586423	21.665089903707152	20.977165097249646	21.158596700516384	19.86380591746255	20.832201051887516	20.771443359071974	21.53835195841008	21.196946679353218	21.929685692957094	21.67416394034561	22.128966913432798	NA
A0A0B4J1V0	3	IGHV3-15	1.0	17.50990958008621	NA	18.23207460955186	17.42064954025231	16.904922819939422	17.34191971878775	17.976026045312054	17.89967799036236	16.965681583037988	17.139881664789794	17.59824737475811	17.68279044188114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.490924943728423	17.42669131562933	17.57356540245374	16.937417603407123	16.970663303049474	17.313331078247018	17.306780395912057	18.0752363252807	18.619630409445776	18.30247501891504	18.629347780312088
A0A0B4J1Y9	1	IGHV3-72	1.0	16.097864474431784	NA	16.667653242935422	15.64500180212375	15.526110459353184	16.260103333408484	16.449336739642472	16.53737118209551	15.734626250340922	15.773800491752544	16.186274872241814	16.330576414431434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J2F0	1	PIGBOS1	1.0	15.670664394931427	NA	15.657911607744778	15.676254830665728	15.545075113683822	15.944954951899964	15.774357802548888	16.091675883014307	15.54277656905318	15.519349140487241	15.592226356943506	15.790196710647724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH25	1	IGKV3D-20	1.0	17.18850355702632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.272593161313957	16.779486669383424	17.59807269440569	16.997694097012836	17.411247789918985	17.06450409583971	17.220720953286765	17.581499581387654	17.196842788290347	17.668971836227684	17.411592263606924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH33	2	IGHV1-24	1.0	14.693555146678099	NA	15.291892714573608	15.0586358743664	15.038906818250389	14.5481537419328	14.752054841655356	14.61291838406046	14.180928265067934	14.469627627788835	14.487131607292973	14.704377542482776	14.751151490257277	NA	14.669290554437199	14.810679965346871	15.400254343306162	14.498540326785532	14.39141561701208	14.515201033992648	14.60228119890355	14.852362613215647	14.596154878098547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH34	4	IGHV4-28	1.0	18.57247729421623	18.745454038174145	19.70835253330083	18.30144145170861	17.806540779780068	18.778069414256056	19.099315297764253	18.68608327166017	18.011006889027655	18.650333520780876	18.541784336448284	18.7185375677966	18.64245556411777	NA	18.72985601599761	18.232061240111385	19.194937042055294	17.90961164923743	18.233415159627466	19.02247070384079	18.04450424118479	18.746808500283734	18.712371295733778	18.61547980886497	18.558051870080646	18.366253903671925	18.052233964549252	18.192893638291515	19.09383123448907	18.32418140591749	19.178480610564648	18.796150890716998	19.048178156420704	19.112230037775728
A0A0C4DH35	1	IGHV3-35	1.0	16.44229068424222	16.695515239137112	17.300681282059088	16.31700172703874	16.388119737253355	16.474945708749953	17.259313190014783	16.659589202265742	15.9593910986209	15.8569629407896	16.80405371274578	16.794711174027935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH38	7	IGHV5-51	1.0	18.314046293560505	NA	19.184601679324437	18.691352398457607	17.51536255320736	18.326406533160668	18.706425594626662	18.575397950975034	17.564857951584976	18.154026792935994	18.331989647489294	17.983171839981384	18.161971782427354	NA	18.751444866065437	17.982794592044353	18.96645121233894	18.016364701217068	18.135321729097793	18.56140682855354	17.908533584063232	18.41266951215997	18.333845865460002	18.42958612862115	18.419902814036742	17.837628514799242	17.882318207646634	18.063757338370824	18.251940963814302	18.25297520394476	18.38782534113633	18.64344488308842	18.1046845682891	18.00609099273664
A0A0J9YXX1	4	IGHV5-10-1	0.9994	22.577671536632387	24.249178494026793	24.12266751156916	23.133804461670206	21.95869255358283	21.424560405676576	21.43482284550801	21.686777406671315	22.56292869435454	22.962970116162627	22.252065983246833	22.054835371650203	23.17957986623352	NA	22.666402570526927	22.37173124429123	22.840285305780206	21.550280184932692	21.89405866338138	23.125602663617812	21.613688058834907	22.486086716834304	23.1213175932708	22.845346629844986	22.793573963034092	22.418093328023627	22.609500695974592	22.401208430881283	22.475812310103432	21.859464024315496	23.230930839034514	22.651367820062568	22.91684826183148	22.05267701784085
A0A0U1RRE5	2	NBDY	1.0	18.71483986521136	20.992533896375587	18.042495041961384	18.571195727705778	19.060510587493717	18.300538450975537	18.857646049908062	19.221267131323856	19.058661621467692	19.044851684857758	19.03758582349909	18.989277851850325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.741839028678374	18.745185941191394	18.86982425998318	19.241627800439982	18.817281402918617	18.256510971542184	18.454689367182933	19.208296100869962	18.265878112056	19.108242208587654	18.795733569822684
A0A2R8Y422	4	RPS27AP5	0.999	19.039657140486828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.893265673304242	NA	18.97781303857115	18.864855668048968	18.57285766262163	18.719042953370252	19.423965414371526	19.186816003398423	19.420561551399455	18.65081166163716	19.041403581520687	19.05825529384582	18.992239016877306	18.75777280418432	19.20809667096441	19.361186239305805	18.594502292001383	19.09287036995916	19.18270278935967	19.092987249226912	19.27758988043863	18.607314741202963
A0AVT1	61	UBA6	1.0	21.4921302234399	21.746147268555955	21.66568506291738	21.745260541138176	21.458363561250433	21.66258318539992	21.43993988841374	21.448603654553594	21.530073971422308	21.476303718954316	21.509088435500534	21.464503942122374	21.472288279978216	22.564744392998527	21.55452214012308	21.673856910514814	21.397831678081356	21.452151879040798	21.321444113388477	21.631929725598248	21.540404840984436	21.765766538683206	21.444633872098404	21.496623573585264	21.509924592382436	21.6325021143579	21.528561464262552	21.4881180821753	21.587416007062135	21.528048712478693	21.463921186822972	21.728724308631417	21.718951074369805	21.91336484768393
A0FGR8	22	ESYT2	1.0	20.16815189431911	20.446561082814828	20.578935428521063	20.137069067453957	20.187830593558637	20.435598456853683	20.223870038763444	20.191759464303615	20.159222077899543	19.994487820095628	20.126239748466354	20.2077219073966	20.122811069458272	19.59955351094651	20.257418940569764	19.977468197148415	20.236038009464806	20.34940818388801	20.439853404724403	19.856796478075278	20.363827162413795	20.07652824799472	20.135546831847968	20.180626232550516	20.189980386819826	20.47648305529354	20.150561744891423	20.27901481981331	20.36359703600381	20.17657767534457	19.878904362350486	20.134898623290027	20.1889165584942	19.74934872538228
A0JNW5	2	UHRF1BP1L	1.0	16.238261684664444	NA	16.19942159394055	16.51520265240431	15.923193594672437	16.369561394772496	16.592775696342265	16.390485965913587	15.913937943596657	16.281165483367513	16.0415585449736	16.314574770049507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0M8Q6	3	IGLC7	1.0	19.61329515226854	19.698701997706433	19.954909054775676	18.950569583824343	18.3792923261712	19.38312976718741	20.744531864870368	20.934334844176625	19.557659442284912	19.893467239150215	19.348614566466374	19.35835615145615	19.89062520831713	18.921330131925753	19.991265782598333	19.27989279115646	19.679549138184502	19.03946535503643	19.672252190358233	20.47436612361778	19.14867930791345	19.841096376408007	19.859551736557975	19.81995122005669	19.656381686141348	19.612213612978223	19.248150601318024	19.442192595717646	20.52618064925297	19.98850273541929	19.14414366324833	18.84596988470109	19.02224243850259	18.33030249263699
A0MZ66	41	SHTN1	1.0	21.79438041479532	21.98679209193892	21.276395525910644	22.537829598096582	22.3929806760663	22.04093714253671	21.96584182816418	22.083409511610846	21.124560054468876	21.440408242448523	21.803430164579133	21.773485799210196	21.775315407571583	22.124414819734643	22.148952822660483	22.247633464555395	21.659689429932858	22.048474219080646	21.66934695889188	21.400845196876922	22.169658225654658	22.357083423942978	21.650574958831136	21.906976058131384	21.93367669489902	21.718044637891822	21.490945553191235	21.713301453427224	21.61259465304453	22.55140609764913	21.743624591319836	21.988583254109482	21.63471041141971	21.379787049522562
A1A5C7	1	SLC22A23	1.0	13.790240734938436	NA	13.58050676830582	14.407985625559803	14.170518234799243	13.896404440416683	14.012170189823799	13.559758896555458	13.629284624578434	13.524761692059856	13.703836218449167	13.642477359946637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1L0T0	16	ILVBL	1.0	22.88583706401415	23.200336980875228	22.94819376259028	23.26946104416531	23.082354210801242	23.122287622094017	22.862898231785767	22.818281189521528	22.72219287589721	22.80262759513426	22.84341845628255	22.863299892039013	22.898536851540552	22.800223111848368	22.80361080426855	22.908315999639054	22.874101250475924	22.975702171316467	22.667221604368784	22.791473565167383	22.8211498074999	23.345702774834816	22.935660267653233	22.97802149752772	22.916109986149348	23.047817066624724	22.95432342412883	23.0439791823182	22.793780277769205	22.852558930746465	22.699545891592457	23.120546531394883	22.986207239552233	23.390995334813006
A1L157	1	TSPAN11	0.9983	15.000041233620898	NA	15.629687221070565	14.982190100790474	14.185793960702897	15.198688508728948	14.333552994988823	14.453147663966012	15.331640179754045	15.276104500538018	14.873724227153984	14.791108612898672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1X283	14	SH3PXD2B	1.0	20.349239698029386	20.655431045078213	20.471084804775472	20.253810685111393	20.34459762002154	20.382769394855945	20.335738514304012	20.27411144032441	20.473109578670346	20.45097895418096	20.359036303401854	20.345375031552216	20.456731990333342	20.41366491201841	20.472956547453173	20.783579528064315	20.82591333411321	20.17823345224434	19.84894487304962	20.564252833900788	20.018032495538883	20.50166938540188	20.43379297541101	20.303233466199227	20.26634811707074	20.406589507332548	20.57664981751582	20.359728388972975	20.479721672250694	20.210767534408202	20.57860766052312	20.303915225407945	20.74188739985631	20.646342226214166
A1Z1Q3	1	MACROD2	1.0	16.002948727971383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.74049640889926	NA	15.863657432858378	15.839686371297315	15.8718629617375	16.029361359723854	16.494452277460233	15.550112747621084	16.430836210067085	15.791728001142415	15.93355060459693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2RRP1	14	NBAS	1.0	18.64457384502048	20.421549244915436	18.79936893074334	18.741012081264888	18.744422437030202	18.709001592335397	18.8347234361479	18.640887022850418	18.39342133896145	18.71370438382305	18.624697153302098	18.59474832257136	18.63751757664736	18.4389628670554	18.802384500165143	18.779398130484214	18.772151279032744	18.571294839686153	18.575824242382136	18.809171401215647	18.409366214801633	18.992865873036113	18.764497894494788	18.723829337523476	18.686195767080754	18.290054567521402	18.808864330131	18.751940735002762	18.7806310503619	18.532346917377243	18.51634734512469	18.881701589296046	18.3023673005948	18.187199393591396
A2RTX5	6	TARS3	1.0	17.74227954458581	NA	17.74873923983741	18.01266552511158	18.140113581427965	17.7836391797589	17.73472913479242	17.620119114753326	17.481590002197162	17.731962214640387	17.612590750080667	17.827565116629234	17.524224940720146	18.653667704348166	17.992356167602345	17.902063805004214	17.779289208173907	17.952729708870457	17.987902325342244	17.806328268122712	18.127226863880793	18.054771684883015	17.68879747430148	17.85913460289224	17.997127053228542	16.59808935687359	17.696542439754353	17.629251799995618	17.672083326632823	18.043095933253227	17.78446816446147	17.96022813557683	17.58490469393522	17.979047994229834
A2RUS2	3	DENND3	0.9906	17.291630499969997	17.204065145792214	17.548819303134596	17.17168617912662	17.051330018455225	17.502804112741003	17.543572923269767	17.35755063115295	17.185329119821542	17.47285450933732	17.191907002479674	17.17495256434678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A4D161	1	FAM221A	0.995	16.147783221663488	NA	16.316617203052573	16.74214626705608	16.462756336899123	15.98712475608216	16.224357618468602	15.84505892116001	16.20588540479802	15.953479347730342	15.951487541866026	15.826329073211486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A4D1F6	1	LRRD1	0.9989	14.699322946307644	15.599027369556335	15.796150681524006	14.765210723458532	14.81490510697311	14.474454615810497	14.712638051968163	14.8573624080845	14.526282328718805	14.435374375204972	14.998087426802359	14.831644200698879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A4D1P6	1	WDR91	1.0	16.355374414675165	NA	16.56282611186049	16.452787527078424	16.489670154274258	16.277353195091255	16.323521973211744	16.12301483116767	16.47998424847335	16.420294598616678	16.31247379982923	16.174978849919015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A4UGR9	2	XIRP2	0.9921	17.398188978411163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.34838371727656	NA	17.869566695482053	17.69284580384177	17.184228502350074	17.680434250935136	17.018334845772685	17.152573833373697	17.54543576584448	17.546455858445277	17.26321682010878	17.389860576764413	17.34765325602145	17.165856002094724	16.936427880136886	16.96805720454023	17.436080916642485	18.246580950249083	16.91152716545201	17.183735728760208	16.746220870090067	NA
A5A3E0	3	POTEF	0.9974	20.54909211149148	NA	21.274790507596556	20.479186550083362	20.20803486473705	20.811908484368825	20.319150599524313	20.2531135203166	20.514789768662883	20.537076823220637	20.508862809835435	20.37451217582108	20.45032844888431	NA	20.242688207163663	20.39311519008121	20.359371947523233	20.25808140646383	21.007711497615283	20.96484205557022	20.073570450821972	20.455906932639344	20.464757814331758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A5D8V6	1	VPS37C	0.9999	17.123815759698438	NA	16.999951483816375	16.752790401476943	16.919102025738088	16.654988151324538	16.9562444317913	17.055997303368265	17.413187231151277	17.38114259415983	17.378055353750792	17.371682952599887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A5PKW4	1	PSD	1.0	16.059024545062666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.816868846525525	NA	15.525249560575098	15.651130086042766	15.511700425591172	16.122549994578694	16.945398932357094	15.344480971242934	16.53754168668758	15.920731327966115	15.795214323035534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
