feature	logFC	AveExpr	t	P.Value	adj.P.Val	B	name	name_lipid1	name_lipid3	identity	abbreviation	composition	pre_fatty_acid_length	n_doub_bonds	definition	m_z	rt	main_fat_acd_length_num	main_fat_acd_length_fct	definition2
NA_842.52684_7.26	1.6998342720851922	12.192896205864862	10.35251990416154	3.4104764200494606e-7	3.1978961455495034e-4	7.100572203565553	NA	NA	NA	NA	NA	NA	NA	NA	NA	842.52684	7.26	NA	NA	NA
NA_629.61119_10.23	-1.5571131275751193	11.661929797779138	-9.6854759322047	6.840987389198694e-7	3.1978961455495034e-4	6.404010100886679	NA	NA	NA	NA	NA	NA	NA	NA	NA	629.61119	10.23	NA	NA	NA
NA_794.50698_6.9	1.506960717199167	13.19159572824191	9.436477766417585	8.958960619989503e-7	3.1978961455495034e-4	6.1812502237486555	NA	NA	NA	NA	NA	NA	NA	NA	NA	794.50698	6.9	NA	NA	NA
NA_796.52316_7.25	1.771585305261507	13.145921167169064	9.417155896943905	9.150594271383139e-7	3.1978961455495034e-4	6.176193734845486	NA	NA	NA	NA	NA	NA	NA	NA	NA	796.52316	7.25	NA	NA	NA
NA_338.28187_7.25	1.9849297857878825	16.430946094900875	9.231508989329388	1.1233827209190292e-6	3.1978961455495034e-4	5.987111255083697	NA	NA	NA	NA	NA	NA	NA	NA	NA	338.28187	7.25	NA	NA	NA
PG 35:2; PG 17:1 18:1_760.5241_7.02	1.709001896286948	12.611699124225156	9.2429959281457	1.1091121889350982e-6	3.1978961455495034e-4	5.967903149548445	PG 35:2; PG 17:1 18:1	PG 35:2	PG 35:2	PG 35:2	PG	35:2	35	2	PG	760.5241	7.02	35	35	PG 35:2
NA_831.59687_6.93	1.2916740546304581	12.53610524630666	7.965718997024612	4.981976228952886e-6	0.0010037234118948123	4.551935848266909	NA	NA	NA	NA	NA	NA	NA	NA	NA	831.59687	6.93	NA	NA	NA
NA_817.5818_6.95	1.2021913243720495	12.308584940722469	7.949256656834326	5.0851078898853425e-6	0.0010037234118948123	4.532973784423599	NA	NA	NA	NA	NA	NA	NA	NA	NA	817.5818	6.95	NA	NA	NA
NA_729.66466_7.82	-1.1185504190232038	11.30314792604793	-7.917747929048696	5.2889406949960835e-6	0.0010037234118948123	4.4906091053567945	NA	NA	NA	NA	NA	NA	NA	NA	NA	729.66466	7.82	NA	NA	NA
NA_550.49506_23.57	-1.6927591958587294	13.101753025967387	-7.716054285739824	6.820048061373511e-6	0.0011648642088825957	4.244146819146562	NA	NA	NA	NA	NA	NA	NA	NA	NA	550.49506	23.57	NA	NA	NA
NA_872.44907_6.92	1.2011737623823118	11.554374984075276	7.339800157084271	1.1098792508737364e-5	0.001662394955674143	3.7686013330229855	NA	NA	NA	NA	NA	NA	NA	NA	NA	872.44907	6.92	NA	NA	NA
NA_538.42234_4.75	-1.4987905211903743	10.656598721046098	-7.301131950523292	1.1679589852511544e-5	0.001662394955674143	3.7208897544705097	NA	NA	NA	NA	NA	NA	NA	NA	NA	538.42234	4.75	NA	NA	NA
NA_324.26625_7.02	2.092243584678964	11.329170898679564	7.149269661145431	1.4295338029764025e-5	0.001878187488833612	3.5124785332102793	NA	NA	NA	NA	NA	NA	NA	NA	NA	324.26625	7.02	NA	NA	NA
NA_878.7362_23.43	-1.2006533812954354	13.461362947615209	-7.028052600485027	1.683222517118919e-5	0.0020535314708850813	3.35060565837124	NA	NA	NA	NA	NA	NA	NA	NA	NA	878.7362	23.43	NA	NA	NA
