Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	mix_1 Spectral Count	mix_2 Spectral Count	mix_3 Spectral Count	mix_1 Unique Spectral Count	mix_2 Unique Spectral Count	mix_3 Unique Spectral Count	mix_1 Total Spectral Count	mix_2 Total Spectral Count	mix_3 Total Spectral Count	mix_1 Intensity	mix_2 Intensity	mix_3 Intensity	mix_1 Unique Intensity	mix_2 Unique Intensity	mix_3 Unique Intensity	mix_1 Total Intensity	mix_2 Total Intensity	mix_3 Total Intensity	Indistinguishable Proteins
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	20.50	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin lambda variable 8-61 	1.0000	0.9990	3	5	5	5	5	0	0	5	0	0	5	0	0	8055040	     0	     0	8055040	     0	     0	8055040	     0	     0		
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	41.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial 	1.0000	0.9990	9	42	0	42	9	23	10	0	0	0	9	23	10	112359692	132034668	218356376	     0	     0	     0	112359692	132034668	218356376	sp|P0DPI2|GAL3A_HUMAN	
sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	117	35.90	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 5-51 	1.0000	0.9990	3	9	8	9	2	4	3	1	4	3	2	4	3	6814591	6213199	2427514	1911969	6213199	2427514	6814591	6213199	2427514		
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	35.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6 	1.0000	0.9990	34	75	75	75	38	20	17	38	20	17	38	20	17	59139749	21645136	19610141	59139749	21645136	19610141	59139749	21645136	19610141		
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	18.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2 	1.0000	0.9990	12	24	24	24	14	6	4	14	6	4	14	6	4	25970128	8163628	8322650	25970128	8163628	8322650	25970128	8163628	8322650		
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	37.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Shootin-1 	1.0000	0.9990	23	45	45	45	19	16	10	19	16	10	19	16	10	78389114	29312242	22127566	78389114	29312242	22127566	78389114	29312242	22127566		
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	17.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2 	1.0000	0.9990	7	18	18	18	7	5	6	7	5	6	7	5	6	227244886	13186280	17723819	227244886	13186280	17723819	227244886	13186280	17723819		
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	25.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	SH3 and PX domain-containing protein 2B 	1.0000	0.9990	15	20	16	20	12	3	5	10	2	4	12	3	5	17964411	11314441	29661307	17964411	7025750	22662352	17964411	11314441	29661307		
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	5.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neuroblastoma-amplified sequence 	1.0000	0.9990	10	15	15	15	10	3	2	10	3	2	10	3	2	6991158	2908890	4188346	6991158	2908890	4188346	6991158	2908890	4188346		
sp|A2RTX5|SYTC2_HUMAN	A2RTX5	SYTC2_HUMAN	TARS3	802	6.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Threonine--tRNA ligase 2, cytoplasmic 	1.0000	0.9990	5	6	6	9	4	1	1	4	1	1	5	2	2	3763923	1231270	2555972	3763923	1231270	2555972	11852890	5604852	12203282		
sp|A2RUS2|DEND3_HUMAN	A2RUS2	DEND3_HUMAN	DENND3	1198	3.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	DENN domain-containing protein 3 	1.0000	0.9896	4	4	4	4	4	0	0	4	0	0	4	0	0	5168567	     0	     0	5168567	     0	     0	5168567	     0	     0		
sp|A5PLN9|TPC13_HUMAN	A5PLN9	TPC13_HUMAN	TRAPPC13	417	6.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Trafficking protein particle complex subunit 13 	1.0000	0.9990	3	4	4	4	3	1	0	3	1	0	3	1	0	8325084	2654104	     0	8325084	2654104	     0	8325084	2654104	     0		
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	6.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1 	1.0000	0.9990	14	21	21	21	11	5	5	11	5	5	11	5	5	13219464	5095134	3756379	13219464	5095134	3756379	13219464	5095134	3756379		
sp|A5YM72|CRNS1_HUMAN	A5YM72	CRNS1_HUMAN	CARNS1	827	26.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Carnosine synthase 1 	1.0000	0.9990	16	29	29	32	15	12	2	15	12	2	16	13	3	19051348	26198954	625069	19051348	26198954	625069	20647145	26198954	5464289		
