Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	mix_1 Spectral Count	mix_2 Spectral Count	mix_3 Spectral Count	mix_1 Unique Spectral Count	mix_2 Unique Spectral Count	mix_3 Unique Spectral Count	mix_1 Total Spectral Count	mix_2 Total Spectral Count	mix_3 Total Spectral Count	mix_1 Intensity	mix_2 Intensity	mix_3 Intensity	mix_1 Unique Intensity	mix_2 Unique Intensity	mix_3 Unique Intensity	mix_1 Total Intensity	mix_2 Total Intensity	mix_3 Total Intensity	Indistinguishable Proteins
sp|A0A024RBG1|NUD4B_HUMAN	A0A024RBG1	NUD4B_HUMAN	NUDT4B	181	42.20	Homo sapiens OX=9606	3:Protein inferred from homology	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B 	1.0000	0.9990	5	12	0	12	5	4	3	0	0	0	5	4	3	22181071	14608584	22421646	     0	     0	     0	22181071	14608584	22421646	sp|Q9NZJ9|NUDT4_HUMAN	
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	20.50	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin lambda variable 8-61 	1.0000	0.9990	3	5	5	5	5	0	0	5	0	0	5	0	0	8055040	     0	     0	8055040	     0	     0	8055040	     0	     0		
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	40.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial 	1.0000	0.9990	9	52	0	52	11	26	15	0	0	0	11	26	15	112359692	132034668	182427300	     0	     0	     0	112359692	132034668	182427300	sp|P0DPI2|GAL3A_HUMAN	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	39.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6 	1.0000	0.9990	36	82	82	82	41	23	18	41	23	18	41	23	18	59139749	21645136	19610141	59139749	21645136	19610141	59139749	21645136	19610141		
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	21.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2 	1.0000	0.9990	13	25	25	25	15	6	4	15	6	4	15	6	4	25970128	8163628	8322650	25970128	8163628	8322650	25970128	8163628	8322650		
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	37.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Shootin-1 	1.0000	0.9990	23	46	46	46	20	16	10	20	16	10	20	16	10	78389114	29312242	22127566	78389114	29312242	22127566	78389114	29312242	22127566		
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	24.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2 	1.0000	0.9990	9	19	19	19	10	4	5	10	4	5	10	4	5	227244886	13021008	16081611	227244886	13021008	16081611	227244886	13021008	16081611		
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	24.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	SH3 and PX domain-containing protein 2B 	1.0000	0.9990	14	20	17	20	12	3	5	11	2	4	12	3	5	18193429	11314441	29661307	18193429	7025750	22662352	18193429	11314441	29661307		
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	4.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neuroblastoma-amplified sequence 	1.0000	0.9990	9	14	14	14	9	3	2	9	3	2	9	3	2	6991158	2908890	4188346	6991158	2908890	4188346	6991158	2908890	4188346		
sp|A2RTX5|SYTC2_HUMAN	A2RTX5	SYTC2_HUMAN	TARS3	802	6.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Threonine--tRNA ligase 2, cytoplasmic 	1.0000	0.9990	5	6	6	9	4	1	1	4	1	1	5	2	2	3763923	1231270	2555972	3763923	1231270	2555972	11852890	5604852	12203282		
