logFC	AveExpr	t	P.Value	adj.P.Val	B	Protein	Limma	Gene	Description
0.6258752223388492	23.183935853023172	10.947758560617844	1.7025001927948214e-7	7.599960860636083e-4	7.3695875182682276	Q13510	Robust - w Patient effect	ASAH1	Acid ceramidase
0.4890154618111638	16.529783572187473	9.247088958246305	1.0130492962645978e-6	0.0022611260292625824	5.896661080964658	P78410	Robust - w Patient effect	BTN3A2	Butyrophilin subfamily 3 member A2
0.6593812007926343	20.507873049257828	8.147715149033655	3.6982550309620007e-6	0.005503003486071457	4.751843726906256	Q99538	Robust - w Patient effect	LGMN	Legumain
0.46526498336697913	20.113265376981584	7.887158138752177	5.121885071639054e-6	0.005509321944358867	4.404681053038155	P20702	Robust - w Patient effect	ITGAX	Integrin alpha-X
0.408127282837081	20.62379968227809	7.740790060054211	6.170835511154645e-6	0.005509321944358867	4.209279952392072	Q9BQI0	Robust - w Patient effect	AIF1L	Allograft inflammatory factor 1-like
1.074122210198779	22.595887825209296	7.320637977758998	1.0682473994286577e-5	0.007947760651749214	3.769575928763567	Q14956	Robust - w Patient effect	GPNMB	Transmembrane glycoprotein NMB
0.36493792628438987	21.144849829999593	7.139580890086884	1.3621806864332496e-5	0.008686820834625752	3.5047926674464156	P55008	Robust - w Patient effect	AIF1	Allograft inflammatory factor 1
0.5218714306405713	17.80342541729164	6.945143659352525	1.7765531541149407e-5	0.00991316659996137	3.2926214042255264	Q13501	Robust - w Patient effect	SQSTM1	Sequestosome-1
0.29771520549458147	20.276060087962612	6.83438322947978	2.0711743203387316e-5	0.010273024628880108	3.1591487984016045	Q96HY6	Robust - w Patient effect	DDRGK1	DDRGK domain-containing protein 1
0.40153840212366126	24.695178674411952	6.55873135301417	3.0553718143043144e-5	0.011794413560698724	2.787641598997263	P61769	Robust - w Patient effect	B2M	Beta-2-microglobulin
-0.3973939476813181	25.854785117659393	-6.519984632492126	3.229581932166512e-5	0.011794413560698724	2.716471719548492	P63313	Robust - w Patient effect	TMSB10	Thymosin beta-10
-0.3530716009889412	15.458620815495717	-6.509091331780157	3.2804426002782014e-5	0.011794413560698724	2.698627782836586	Q96BW9	Robust - w Patient effect	TAMM41	Phosphatidate cytidylyltransferase, mitochondrial
0.6267073405575656	21.447065286682005	6.376689593178042	3.9715979080739356e-5	0.011794413560698724	2.5397521397293072	P15559	Robust - w Patient effect	NQO1	NAD(P)H dehydrogenase [quinone] 1
0.22904395956023102	15.926762393768637	6.318638828485761	4.322088756289711e-5	0.011794413560698724	2.4550255426314447	Q96BY6	Robust - w Patient effect	DOCK10	Dedicator of cytokinesis protein 10
-0.2837300963929663	18.330785875248324	-6.306287423278528	4.4008230978294016e-5	0.011794413560698724	2.4415903724595163	Q9HAR2	Robust - w Patient effect	ADGRL3	Adhesion G protein-coupled receptor L3
0.3220469701036698	21.29637950425234	6.295773737574334	4.469044770975305e-5	0.011794413560698724	2.430616248865224	P28289	Robust - w Patient effect	TMOD1	Tropomodulin-1
0.4127328376783368	21.876559598550052	6.292335215056019	4.491600146323439e-5	0.011794413560698724	2.426017011893248	P42224	Robust - w Patient effect	STAT1	Signal transducer and activator of transcription 1-alpha/beta
0.5032436058254942	21.91213463834006	6.080834021334542	6.140899535233924e-5	0.013747193764231268	2.1287600603086148	P32455	Robust - w Patient effect	GBP1	Guanylate-binding protein 1
0.3024033267678332	24.985428514740214	6.087344962596247	6.081500371096147e-5	0.013747193764231268	2.126804047389906	P23381	Robust - w Patient effect	WARS1	Tryptophan--tRNA ligase, cytoplasmic
0.3296100659456813	18.39702319390103	6.078848364270735	6.159136991143041e-5	0.013747193764231268	2.125443166229285	Q9BW60	Robust - w Patient effect	ELOVL1	Elongation of very long chain fatty acids protein 1
0.2643521961914297	18.29428787742098	6.011578709396014	6.812238662007405e-5	0.01439188609942164	2.0211301651699873	Q9BT40	Robust - w Patient effect	INPP5K	Inositol polyphosphate 5-phosphatase K
-0.23223980240883885	19.270821850011913	-5.984759218574484	7.092775407421059e-5	0.01439188609942164	1.990923754100768	O00754	Robust - w Patient effect	MAN2B1	Lysosomal alpha-mannosidase
0.24239752575856038	18.92132512720752	5.90135221053081	8.046359916311966e-5	0.014762814354188773	1.87185065802319	Q9BUP0	Robust - w Patient effect	EFHD1	EF-hand domain-containing protein D1
0.498582868493373	23.83786452961295	5.876462270987733	8.356590800018913e-5	0.014762814354188773	1.8356293613993824	P40121	Robust - w Patient effect	CAPG	Macrophage-capping protein
0.5659687225285559	27.255545280030724	5.872805772112923	8.403223786862005e-5	0.014762814354188773	1.8298637036232215	P09382	Robust - w Patient effect	LGALS1	Galectin-1
0.3647591422981133	23.912151907458593	5.832131107546635	8.94097497658714e-5	0.014762814354188773	1.7688061918772018	O14773	Robust - w Patient effect	TPP1	Tripeptidyl-peptidase 1
0.5465767566737891	25.12424259261549	5.786111753752969	9.59367096577171e-5	0.014762814354188773	1.7027202940125203	P31949	Robust - w Patient effect	S100A11	Protein S100-A11
0.20144040322448392	19.014914182444677	5.741218617891958	1.0279218608495528e-4	0.014762814354188773	1.6398571916027072	Q9H5N1	Robust - w Patient effect	RABEP2	Rab GTPase-binding effector protein 2
0.4565326365921734	25.280183766435165	5.73146337484975	1.0434939921732924e-4	0.014762814354188773	1.6256684025016748	P37802	Robust - w Patient effect	TAGLN2	Transgelin-2
0.4121442604451545	24.907599363246604	5.7208672453015925	1.0606918772250253e-4	0.014762814354188773	1.6101973024162035	P02792	Robust - w Patient effect	FTL	Ferritin light chain
0.5718673365927546	23.400208162624075	5.718565842399447	1.0644666589594674e-4	0.014762814354188773	1.6013182316641306	O15061	Robust - w Patient effect	SYNM	Synemin
0.6240260897566037	25.193717077002233	5.7048804598665654	1.0872093509692531e-4	0.014762814354188773	1.5853040935441651	P02452	Robust - w Patient effect	COL1A1	Collagen alpha-1(I) chain
-0.30646572993776267	19.84700760671612	-5.702429127369475	1.0913370826349226e-4	0.014762814354188773	1.5823498879910733	Q4G0N4	Robust - w Patient effect	NADK2	NAD kinase 2, mitochondrial
0.6445068768248955	23.886968583126666	5.678269173188775	1.1329184162022484e-4	0.014874552382137755	1.5441348631836167	P07602	Robust - w Patient effect	PSAP	Prosaposin
0.531101052652558	19.543985288087555	5.612075502991928	1.255668985789286e-4	0.015688427556457735	1.4424120537563105	O00625	Robust - w Patient effect	PIR	Pirin
0.3240011333914951	19.28201216662206	5.607227596332869	1.2651957706820755e-4	0.015688427556457735	1.436300953807561	Q7Z2K6	Robust - w Patient effect	ERMP1	Endoplasmic reticulum metallopeptidase 1
0.2700927725483794	21.014097557604064	5.580610901956273	1.3188815249544074e-4	0.015912127371341823	1.3969195688678893	O75828	Robust - w Patient effect	CBR3	Carbonyl reductase [NADPH] 3
0.40405847422897584	21.94750969749216	5.560289440260425	1.3614898868517079e-4	0.015993923302384274	1.3714704047645254	O14558	Robust - w Patient effect	HSPB6	Heat shock protein beta-6
0.5802587534356342	18.184402091888288	5.493871827821937	1.5112014366587111e-4	0.017090426112242763	1.2696451900398964	Q9BXD5	Robust - w Patient effect	NPL	N-acetylneuraminate lyase
0.30700655565041357	20.173578265589846	5.4854471923257435	1.531400189269065e-4	0.017090426112242763	1.2636661586267186	Q03519	Robust - w Patient effect	TAP2	Antigen peptide transporter 2
0.5315483347337678	28.064919201235586	5.448783715098524	1.622684616265457e-4	0.017667473480509753	1.1983812277212529	P06703	Robust - w Patient effect	S100A6	Protein S100-A6
-0.2546731645069391	20.437504640562246	-5.407529776883	1.7323133158626022e-4	0.018412015814311088	1.139208720495553	P28074	Robust - w Patient effect	PSMB5	Proteasome subunit beta type-5
-0.21518449104891998	19.200987783350083	-5.221964361786383	2.3314631564902663e-4	0.022963292374185516	0.8579128968576883	Q96PU5	Robust - w Patient effect	NEDD4L	E3 ubiquitin-protein ligase NEDD4-like
0.3821521332644075	19.981135463184998	5.207324322317545	2.3872383246215442e-4	0.022963292374185516	0.8376718403196488	Q9ULZ3	Robust - w Patient effect	PYCARD	Apoptosis-associated speck-like protein containing a CARD
0.29749770105798024	23.45824060726975	5.205443766957174	2.3945040795856945e-4	0.022963292374185516	0.8248093327357715	P00387	Robust - w Patient effect	CYB5R3	NADH-cytochrome b5 reductase 3
0.2626259592737015	20.296405760607943	5.201742193963305	2.408873724555612e-4	0.022963292374185516	0.8134609866084164	Q99828	Robust - w Patient effect	CIB1	Calcium and integrin-binding protein 1
0.9057570946610837	22.513697519276388	5.199472378676453	2.4177301558842278e-4	0.022963292374185516	0.8099091065763062	P15259	Robust - w Patient effect	PGAM2	Phosphoglycerate mutase 2
0.35511023845300377	21.701980528716465	5.145693291688541	2.637921036615039e-4	0.023336007598016663	0.7494856722070713	Q9BX67	Robust - w Patient effect	JAM3	Junctional adhesion molecule C
0.3967911210358649	22.934870027577823	5.148348948615876	2.626566437946385e-4	0.023336007598016663	0.7434141046863507	P51884	Robust - w Patient effect	LUM	Lumican
0.49553242680553655	20.444782974465973	5.150946811966705	2.6155087396098376e-4	0.023336007598016663	0.7360136043354837	O14879	Robust - w Patient effect	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3
0.5367445133990045	17.670563709266478	5.131929869034876	2.697602237180289e-4	0.023336007598016663	0.7201120630290658	Q7Z6J6	Robust - w Patient effect	FRMD5	FERM domain-containing protein 5
0.2405988243575162	19.05243057590801	5.123469964721501	2.7349903921696487e-4	0.023336007598016663	0.7038489796412684	Q9BZC7	Robust - w Patient effect	ABCA2	ATP-binding cassette sub-family A member 2
-0.2713584544193478	15.625542976899844	-5.115518721112584	2.770628142237641e-4	0.023336007598016663	0.6946935239363219	Q5T5Y3	Robust - w Patient effect	CAMSAP1	Calmodulin-regulated spectrin-associated protein 1
0.23898649077712292	20.688756849304802	5.067250304765177	2.9977265133730697e-4	0.02434511332104237	0.6038210884023645	P14384	Robust - w Patient effect	CPM	Carboxypeptidase M
-0.2087199691664222	18.953735775997753	-5.055875062252735	3.054046473965889e-4	0.02434511332104237	0.598368321964097	P55285	Robust - w Patient effect	CDH6	Cadherin-6
-0.40585483236705927	18.656353958868664	-5.060085773260052	3.033070135232444e-4	0.02434511332104237	0.5957866574634645	O75962	Robust - w Patient effect	TRIO	Triple functional domain protein
0.30283137362230383	22.013262069551285	5.01510232398081	3.2652357714032544e-4	0.025017997974830324	0.5448122352477762	P05107	Robust - w Patient effect	ITGB2	Integrin beta-2
0.3755406650339595	21.144481968087934	5.023640963797491	3.2197702165175015e-4	0.025017997974830324	0.5323751064608864	P51648	Robust - w Patient effect	ALDH3A2	Aldehyde dehydrogenase family 3 member A2
0.3567183326844509	18.844321923991725	5.007443652505253	3.30659023412856e-4	0.025017997974830324	0.5299976621596256	P84157	Robust - w Patient effect	MXRA7	Matrix-remodeling-associated protein 7
0.3982726221425539	21.27646675018579	4.959659031824638	3.577364755800419e-4	0.02661559378315512	0.4526503738808527	P19971	Robust - w Patient effect	TYMP	Thymidine phosphorylase
